	PickedData1			PickedData2	
0.0520201432672269	140.743600998161		0.0521131226833636	14.4226320440714	
0.0693482734934241	143.225973588459		0.0695963975481371	14.4984795771341	
0.0922835322254448	145.752129154562		0.0921188813946457	14.9881971789417	
0.123023567982775	146.775023137446		0.123463739092673	15.4133981579243	
0.164003239952267	148.322839920984		0.164296374967619	16.1020514026742	
0.21863341436014	151.99818661221		0.217077256032555	16.880396564393	
0.295127392503063	153.869872499386		0.295654895330188	17.8829826944938	
0.390635237226132	157.68267116931		0.391333448226689	18.6819741908652	
0.520757490577564	160.46380749167		0.517050915770662	19.688024518826	
0.689282767498243	165.304777267614		0.68682534669572	21.1511484026012	
0.918885779095636	166.174102611346		0.917246317500603	22.4073895070835	
1.21625160326999	170.291792365165		1.22497052710134	23.7382431896893	
1.64178547616455	174.51151588142		1.64471995972049	25.148140953889	
2.18867117750366	179.77628547116		2.18476618471642	27.1591162550213	
2.91252106167018	182.947099066054		2.91772682410741	28.9235024877378	
3.88269417295722	190.78710867075		3.87576673091096	31.6763498238192	
5.17603606000054	194.152126233096		5.15758253223483	34.2093544400461	
6.90019561185799	198.963093816547		6.87559513577239	37.1392016931933	
9.24809265823717	203.893274151041		9.21512149407401	39.9690372761072	
12.3286715236712	207.489452389407		12.372782787205	44.779474996129	
16.3184226461879	214.873210919659		16.2602444453594	48.8702567273622	
21.8710154258344	221.74298931534		21.9885001732493	54.7519927502857	
29.0005607755371	224.081381183095		29.1043230808707	63.4135661392434	
