indentation_app	force_app		indentation_ret	force_ret	
-3.94259643839884	0.0147838354494836		-3.94259643839884	-0.00671992520431064	
-3.85836457089455	0.0122750633732076		-3.85836457089455	-0.00671992520431064	
-3.78784486786771	0.0122750633732076		-3.78784486786771	-0.00671992520431064	
-3.70361300036343	0.0122750633732076		-3.70361300036343	-0.00671992520431064	
-3.63309329733659	0.0101246873078282		-3.62036057317896	-0.00421115312803488	
-3.5488614298323	0.0101246873078282		-3.5488614298323	-0.00887030126969024	
-3.45875292040912	0.00761591523155225		-3.45875292040912	-0.0135294494113456	
-3.37452105290483	0.00510714315527627		-3.37452105290483	-0.0135294494113456	
-3.29714526763927	0.00761591523155225		-3.29714526763927	-0.0135294494113456	
-3.21976948237371	0.00761591523155225		-3.21976948237371	-0.0113790733459662	
-3.14239369710815	0.00761591523155225		-3.14239369710815	-0.0113790733459662	
-3.05816182960386	0.00761591523155225		-3.05816182960386	-0.0135294494113456	
-2.9807860443383	0.00761591523155225		-2.98764212657702	-0.0135294494113456	
-2.90341025907274	0.00761591523155225		-2.90341025907274	-0.0113790733459662	
-2.81917839156845	0.00761591523155225		-2.82603447380718	-0.0113790733459662	
-2.75453533046052	0.00761591523155225		-2.75453533046052	-0.0135294494113456	
-2.67128290327605	0.00761591523155225		-2.67128290327605	-0.0135294494113456	
-2.59292767769067	0.00761591523155225		-2.59978375992939	-0.0113790733459662	
-2.51555189242511	0.00761591523155225		-2.51555189242511	-0.0135294494113456	
-2.43229946524064	0.00761591523155225		-2.43229946524064	-0.0135294494113456	
-2.35492367997508	0.00761591523155225		-2.35492367997508	-0.0113790733459662	
-2.28342453662842	0.00761591523155225		-2.28342453662842	-0.0113790733459662	
-2.19919266912414	0.00761591523155225		-2.19919266912414	-0.0113790733459662	
-2.12181688385857	0.00761591523155225		-2.12181688385857	-0.0113790733459662	
-2.04444109859301	0.00761591523155225		-2.04444109859301	-0.0135294494113456	
-1.96706531332745	0.00761591523155225		-1.96020923108873	-0.0135294494113456	
-1.88968952806189	0.00761591523155225		-1.88283344582317	-0.0135294494113456	
-1.81231374279632	0.0122750633732076		-1.81231374279632	-0.0135294494113456	
-1.73493795753076	0.0122750633732076		-1.73493795753076	-0.00887030126969024	
-1.65070609002648	0.0122750633732076		-1.65070609002648	-0.0113790733459662	
-1.57333030476092	0.0122750633732076		-1.57333030476092	-0.0135294494113456	
-1.50183116141426	0.0122750633732076		-1.49595451949535	-0.0135294494113456	
-1.42445537614869	0.0147838354494836		-1.43131145838742	-0.00887030126969024	
-1.34707959088313	0.0147838354494836		-1.34707959088313	-0.00671992520431064	
-1.27655988785629	0.0194429835911392		-1.27655988785629	-0.00421115312803488	
-1.19918410259073	0.0241021317327945		-1.19918410259073	-0.00421115312803488	
-1.12082887700535	0.0266109038090707		-1.12082887700535	-0.00421115312803488	
-1.03757644982088	0.0312700519507261		-1.03757644982088	-0.00421115312803488	
-0.960200664555319	0.0359292000923814		-0.960200664555319	-0.00671992520431064	
-0.869112714812315	0.043097120310313		-0.875968797051036	-0.00887030126969024	
-0.791736929546753	0.0502650405282445		-0.791736929546753	-0.0135294494113456	
-0.708484502362287	0.0595833368115555		-0.71436114428119	-0.0135294494113456	
-0.636985359015628	0.066751257029487		-0.643841441254348	-0.0113790733459662	
-0.552753491511345	0.0785783253890739		-0.559609573750064	-0.00671992520431064	
-0.488110430403406	0.0853878495961089		-0.488110430403406	-0.00671992520431064	
-0.417590727376564	0.0997236900319718		-0.417590727376564	-0.00421115312803488	
-0.340214942111002	0.114059530467835		-0.340214942111002	-0.00170238105175868	
-0.268715798764343	0.128036974892801		-0.268715798764343	4.47995013620694E-4	
-0.210928819895125	0.139864043252388		-0.204072737656404	0.00761591523155225	
-0.146285758787187	0.154199883688251		-0.146285758787187	0.0122750633732076	
-0.0884987799179688	0.168177328113218		-0.0884987799179688	0.0169342115148632	
-0.0297323607289339	0.18466354461446		-0.0365884429676555	0.0266109038090707	
0.0211985359015623	0.201149761115702		0.0153218939826587	0.0334204280161057	
0.0731088728518765	0.217994373627841		0.0662527906131558	0.043097120310313	
0.11816312756347	0.231971818052808		0.125019209802191	0.0570745647352795	
0.163217382275064	0.241290114336119		0.163217382275064	0.066751257029487	
0.202394995067753	0.260285102913637		0.202394995067753	0.0853878495961089	
0.240593167540625	0.2746209433495		0.234716525621723	0.0972149179556958	
0.26018197393697	0.286448011709087		0.272914698094595	0.116209906533214	
0.279770780333315	0.291107159850743		0.29935958672966	0.132696123034457	
0.29250350449094	0.300425456134053		0.33168111728363	0.14703196347032	
0.324825035044909	0.314761296569916		0.369879289756502	0.163518179971562	
0.369879289756502	0.326588364929503		0.402200820310472	0.175345248331149	
0.389468096152847	0.33841543328909		0.441378433103162	0.194340236908668	
0.428645708945537	0.345224957496125		0.479576605576034	0.212976829475289	
0.454111157260786	0.354901649790333		0.5060214942111	0.227312669911152	
0.479576605576034	0.364219946073644		0.551075748922694	0.241290114336119	
0.499165411972379	0.371387866291575		0.576541197237941	0.260285102913637	
0.518754218368724	0.378555786509507		0.608862727791911	0.27677131941488	
