,1,,,2,,,3,
100.483218822834,0.987100919942047,,100.992757791537,0.987100919942047,,100.483218822834,0.987100919942047,
115.259848915217,0.855398681524556,,114.750309946514,0.699201099246807,,113.221693040406,0.788593198269307,
129.090192351437,0.773005252176415,,129.59973132014,0.619034519340508,,127.561575445329,0.665798357619182,
145.904978318631,0.70365479813049,,145.395439349928,0.561136433852626,,143.86682244382,0.5811780788292,
161.191147379716,0.663571508177341,,160.172069442311,0.529642420318008,,157.624374598796,0.525188721434325,
175.021490815936,0.627941917107875,,174.511951847234,0.502920227015909,,172.473795972422,0.478424883155651,
189.288581939616,0.59453917548025,,188.779042970913,0.480651732597492,,187.250426064805,0.442795292086185,
205.66662021935,0.570043831619992,,205.157081250648,0.458383238179076,,203.118925375836,0.413846249342243,
220.443250311733,0.551910914736425,,219.93371134303,0.445022141528026,,218.405094436922,0.389350905481985,
234.710341435413,0.527415570876167,,234.20080246671,0.433887894318818,,232.162646591898,0.371536109947252,
249.050223840336,0.511827624783275,,248.540684871633,0.420526797667768,,247.012067965524,0.351176343621843,
265.86500980753,0.500693377574067,,264.845931870124,0.407165701016718,,263.317314964015,0.331134698645268,
279.69535324375,0.482878582039334,,279.185814275047,0.400485152691194,,278.166736337641,0.32000045143606,
293.962444367429,0.476198033713809,,293.452905398726,0.384897206598302,,291.924288492618,0.308866204226852,
308.302326772352,0.467290635946443,,308.811865741055,0.375989808830936,,306.700918585,0.299958806459486,
325.117112739546,0.451702689853551,,324.607573770843,0.367082411063569,,323.078956864735,0.288824559250277,
339.384203863226,0.445022141528026,,338.874664894523,0.360401862738044,,337.855586957117,0.277690312041069,
353.724086268149,0.438341593202501,,353.214547299446,0.351176343621843,,351.685930393337,0.268782914273703,
367.991177391828,0.429434195435135,,367.991177391828,0.342268945854477,,366.972099454423,0.264329215390019,
385.388293608968,0.429434195435135,,384.878754640265,0.337815246970793,,382.331059796751,0.255421817622653,
399.145845763945,0.420526797667768,,399.145845763945,0.328907849203427,,397.107689889134,0.25096811873897,
