	Elastic Modulus			Loss Modulus	
0.0011733659385374	182.013575056558		0.0011733659385374	22.9684848486722	
0.00136054729992873	182.013575056558		0.00136625855645363	24.1831783483829	
0.00160200695063535	182.326508070896		0.0016042454370594	24.2664053320821	
0.00186276211730938	182.639979105936		0.00186797143418548	23.649117102437	
0.00217505202029992	183.583629593328		0.0021659598320137	23.4066211276011	
0.00254324568431704	182.326508070896		0.00255392162958534	24.2664053320821	
0.00295307788092586	181.701179139499		0.00294484246674338	24.1002368099616	
0.00343854188209872	182.013575056558		0.00346263250734218	23.7305061016509	
0.00404313882092971	182.326508070896		0.00401500943037619	23.9352061563209	
0.00466200949977691	182.013575056558		0.00469467181060271	23.9352061563209	
0.0054208345870639	182.013575056558		0.00548938770666913	23.853115093168	
0.00637397696823148	181.701179139499		0.00636508302932352	24.1002368099616	
0.00745296630383841	182.013575056558		0.00741145525511935	24.1002368099616	
0.0085937686656087	182.326508070896		0.00861780161309194	23.9352061563209	
0.0100065202047765	182.639979105936		0.0100345039897641	23.9352061563209	
0.0117659611805152	185.167227467445		0.0117167769157606	23.9352061563209	
0.0136810809416927	185.804484886633		0.0136429277427044	23.853115093168	
0.0158635572450045	187.407239924865		0.015907920556725	24.0175797378209	
0.0185748649407006	190.000454413574		0.0186789014756269	24.0175797378209	
0.021598255071211	190.982134450386		0.0215681179116199	24.1831783483829	
0.0250787132799228	196.979650114587		0.0252191774199519	24.6444855632054	
0.0290793984366185	200.048671282854		0.0292014668895638	24.8570696320193	
0.0338598348781777	208.110724906115		0.0341447027241075	25.9032796461888	
0.0394812296498394	218.740630263454		0.0395916410834803	25.5936669059405	
0.0459716496420903	228.339117760054		0.0461002118927811	26.6708795867877	
0.0531566278835941	240.414883484272		0.0534543544830083	27.6981074115757	
0.0621550028211078	252.694824650623		0.0618951814543978	28.6662433151208	
0.0721709920326426	267.893092977905		0.0725752167716777	29.5664649186284	
0.0839181065186554	282.54562199264		0.0836840793807143	30.3382075045113	
0.0979868794984893	286.455296992209		0.0979868794984893	30.7052160927771	
0.11651010543717	281.576569528789		0.11651010543717	29.975585640099	
0.140875757205684	257.957856786987		0.140286866044681	27.7934311072799	
0.169624930008448	220.627493475797		0.170336975439244	23.2863071895654	
0.198616244567398	170.219158444096		0.198616244567398	19.2768842701972	
0.229337822011773	138.273284347228		0.232238080798473	15.8485275918996	
0.267786041203372	112.130067535336		0.268160218991768	13.1875233371589	
0.310504645952137	94.9197855754934		0.310504645952137	11.4155371815488	
0.361549296274541	78.4416881965639		0.362054489582856	9.88164993620387	
0.370751588745362	58.3752855228329		0.370234259925888	7.676485080791	
