1.445440e-06 3.511921e-01 1.427850e+01
4.786301e-06 3.513946e-01 1.234579e+01
1.584893e-05 3.519351e-01 1.052247e+01
5.248075e-05 3.533506e-01 8.801582e+00
1.737801e-04 3.569748e-01 7.167879e+00
5.754399e-04 3.656307e-01 5.667175e+00
1.905461e-03 3.843003e-01 4.356467e+00
6.309573e-03 4.201011e-01 3.276345e+00
2.089296e-02 4.802000e-01 2.454724e+00
6.918310e-02 5.747269e-01 1.846428e+00
2.290868e-01 7.206546e-01 1.384029e+00
7.585776e-01 9.399687e-01 1.023153e+00
2.511886e+00 1.256354e+00 7.384494e-01
8.317638e+00 1.689630e+00 5.153813e-01
2.754229e+01 2.242723e+00 3.468116e-01
9.120108e+01 2.883910e+00 2.304515e-01
3.019952e+02 3.583877e+00 1.578441e-01
1.000000e+03 4.433342e+00 1.117051e-01
